"code","title","umbrella_code","founder","main_category","category","has_interest","is_hedge","currency_type"
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Ak Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
TOT,TEB PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,TEB Portföy,Borçlanma Araçları,Özel Sektör Borçlanma Araçları,true,false,Tümü
TPP,TEB PORTFÖY PUSULA SERBEST FON,Serbest Şemsiye Fonu,TEB Portföy,Değişken,Değişken,true,true,Tümü
BVZ,BV PORTFÖY İSTATİSTİKSEL ARBİTRAJ SERBEST (TL) FON,Serbest Şemsiye Fonu,BV Portföy,İstatistiksel Arbitraj,İstatistiksel Arbitraj,true,true,Türk Lira
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest Şemsiye Fonu,Pardus Portföy,Döviz,Döviz,true,true,Döviz
RPM,ROTA PORTFÖY İLAÇ VE MEDİKAL TEKNOLOJİLERİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Rota Portföy,Değişken,Sağlık,true,false,Tümü
NAU,NEO PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,NEO Portföy,Emtia,Altın Fonu,true,false,Tümü
ZJI,ZİRAAT PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Ziraat Portföy,Değişken,Değişken,true,true,Türk Lira
ZJB,ZİRAAT PORTFÖY BİRİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Ziraat Portföy,Değişken,Değişken,true,true,Türk Lira
IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Serbest Şemsiye Fonu,İstanbul Portföy,Değişken,Değişken,true,true,Tümü
DDF,DENİZ PORTFÖY DİNAMO SERBEST FON,Serbest Şemsiye Fonu,Deniz Portföy,Değişken,Değişken,true,true,Tümü
PAF,PARDUS PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Pardus Portföy,Emtia,Altın Fonu,true,false,Tümü
RTP,RE-PIE PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,Re-pie Portföy,Değişken,Değişken,true,true,Tümü
TCA,ZİRAAT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Ziraat Portföy,Emtia,Altın Fonu,false,false,Tümü
BIH,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi Şemsiye Fonu,Pardus Portföy,Hisse Senedi,Hisse Senedi,true,false,Tümü
TMM,TERA PORTFÖY İKİNCİ SERBEST DÖVİZ FON,Serbest Şemsiye Fonu,Tera Portföy,Döviz,Döviz,true,true,Döviz
RBA,ALBARAKA PORTFÖY BEREKET VAKFI NA DESTEK ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Albaraka Portföy,Emtia,Altın Fonu,false,false,Tümü
NJF,NUROL PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Nurol Portföy,Emtia,Altın Fonu,false,false,Tümü
YKT,YAPI KREDİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Yapı Kredi Portföy,Emtia,Altın Fonu,true,false,Tümü
KZL,KUVEYT TÜRK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Kuveyttürk Portföy,Emtia,Altın Fonu,false,false,Tümü
FIB,FİBA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Fiba Portföy,Emtia,Altın Fonu,true,false,Tümü
HBF,HSBC PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,HSBC Portföy,Emtia,Altın Fonu,true,false,Tümü
GGK,INVEO PORTFÖY ALTIN FON,Kıymetli Madenler Şemsiye Fonu,Inveo Portföy,Emtia,Altın Fonu,true,false,Tümü
OJK,QNB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,QNB Portföy,Emtia,Altın Fonu,true,false,Tümü
UP1,ÜNLÜ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Ünlü Portföy,Emtia,Altın Fonu,true,false,Tümü
ICA,ICBC TURKEY PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,ICBC Portföy,Emtia,Altın Fonu,true,false,Tümü
RJG,RE-PIE PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Re-pie Portföy,Emtia,Altın Fonu,false,false,Tümü
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,Aktif Portföy,Emtia,Altın Fonu,false,false,Tümü
TAL,ATLAS PORTFÖY ALTIN KATILIM FONU,Kıymetli Madenler Şemsiye Fonu,Atlas Portföy,Emtia,Altın Fonu,false,false,Tümü
DBA,DENİZ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Deniz Portföy,Emtia,Altın Fonu,true,false,Tümü
TUA,TEB PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,TEB Portföy,Emtia,Altın Fonu,true,false,Tümü
KMF,AZİMUT PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Azimut Portföy,Emtia,Altın Fonu,false,false,Tümü
ZCD,ZİRAAT PORTFÖY ALTINCI SERBEST (TL) FON,Serbest Şemsiye Fonu,Ziraat Portföy,Değişken,Değişken,true,true,Türk Lira
PKF,ATA PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Ata Portföy,Emtia,Altın Fonu,false,false,Tümü
AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Ak Portföy,Emtia,Altın Fonu,true,false,Tümü
NVC,NEO PORTFÖY VENTO SERBEST FON,Serbest Şemsiye Fonu,NEO Portföy,Değişken,Değişken,true,true,Tümü
OGD,OYAK PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Oyak Portföy,Emtia,Altın Fonu,false,false,Tümü
RPG,ROTA PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Rota Portföy,Emtia,Altın Fonu,true,false,Tümü
GOL,GARANTİ PORTFÖY ALTIN KATILIM FONU,Katılım Şemsiye Fonu,Garanti Portföy,Emtia,Altın Fonu,false,false,Tümü
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hedef Portföy,İstatistiksel Arbitraj,Hisse Senedi,true,true,Tümü
GKS,INVEO PORTFÖY İKİNCİ SERBEST FON,Serbest Şemsiye Fonu,Inveo Portföy,Değişken,Değişken,true,true,Tümü
NJR,NUROL PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Nurol Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Tümü
KSA,HEDEF PORTFÖY KISA VADELİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Hedef Portföy,Değişken,Değişken,true,true,Türk Lira
GTA,GARANTİ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,Garanti Portföy,Emtia,Altın Fonu,true,false,Tümü
RPT,ROTA PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest Şemsiye Fonu,Rota Portföy,Değişken,Değişken,true,true,Türk Lira
HVK,HEDEF PORTFÖY BİRİNCİ BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları Şemsiye Fonu,Hedef Portföy,Borçlanma Araçları,Borçlanma Araçları,true,false,Türk Lira
HDA,HEDEF PORTFÖY DÖRDÜNCÜ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Hedef Portföy,İstatistiksel Arbitraj,Hisse Senedi,true,false,Türk Lira
PPT,ATLAS PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Atlas Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
DCB,DENİZ PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Deniz Portföy,Para Piyasası,Para Piyasası,true,true,Türk Lira
PPN,NUROL PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Nurol Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
GO6,FONERİA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Foneria Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
HYV,HEDEF PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Hedef Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
KIE,TRIVE PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Trive Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
BGP,AK PORTFÖY ÜÇÜNCÜ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Ak Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
NVT,NEO PORTFÖY ÜÇÜNCÜ SERBEST (TL) FON,Serbest Şemsiye Fonu,NEO Portföy,Değişken,Değişken,true,true,Türk Lira
IJV,İSTANBUL PORTFÖY BİRİNCİ PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,İstanbul Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
NRG,NEO PORTFÖY BİRİNCİ PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,NEO Portföy,Para Piyasası,Para Piyasası,true,false,Tümü
LID,ALLBATROSS PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken Şemsiye Fonu,Allbatross Portföy,Değişken,Değişken,true,false,Tümü
OSD,OSMANLI PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Osmanlı Portföy,Borçlanma Araçları,Özel Sektör Borçlanma Araçları,true,false,Tümü
PUC,AK PORTFÖY BİRİNCİ KISA VADELİ SERBEST (TL)  FON,Serbest Şemsiye Fonu,Ak Portföy,Değişken,Değişken,true,true,Türk Lira
NSK,NEO PORTFÖY BİRİNCİ SERBEST FON,Serbest Şemsiye Fonu,NEO Portföy,Değişken,Değişken,true,true,Tümü
DFD,DENİZ PORTFÖY EMTİA SERBEST FON,Serbest Şemsiye Fonu,Deniz Portföy,Emtia,Emtia,true,true,Tümü
RPP,ROTA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Rota Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
FS5,FONERİA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON(HİSSE SENEDİ YOĞUN FON),Serbest Şemsiye Fonu,Foneria Portföy,İstatistiksel Arbitraj,Hisse Senedi,true,true,Tümü
ZBJ,ZİRAAT PORTFÖY BAŞAK PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Ziraat Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
IRY,INVEO PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Inveo Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
EIL,QİNVEST PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,QInvest Portföy,Para Piyasası,Para Piyasası,true,false,Tümü
FSF,FİBA PORTFÖY PARA PİYASASI SERBEST (TL) FON,Serbest Şemsiye Fonu,Fiba Portföy,Değişken,Değişken,true,true,Türk Lira
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları Şemsiye Fonu,Atlas Portföy,Borçlanma Araçları,Özel Sektör Borçlanma Araçları,true,false,Tümü
TTA,İŞ PORTFÖY ALTIN FONU,Kıymetli Madenler Şemsiye Fonu,İş Portföy,Emtia,Altın Fonu,true,false,Tümü
PPP,PERFORM PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Perform Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası Şemsiye Fonu,Pardus Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
PRY,PUSULA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Pusula Portföy ,Para Piyasası,Para Piyasası,true,false,Türk Lira
KPP,KARE PORTFÖY PARA PİYASASI FONU,Para Piyasası Şemsiye Fonu,Kare Portföy,Para Piyasası,Para Piyasası,true,false,Tümü
PPZ,AZİMUT PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Azimut Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası Şemsiye Fonu,Ata Portföy,Para Piyasası,Para Piyasası,true,false,Türk Lira
